year,type,title,note,journal,doi,author,ENTRYTYPE,ID
2004,InProceedings,"metrology, measurement and metrics in software engineering",37,Unknown Venue,10.1109/metric.2003.1232451,Abran A.,article,RRexportA.Abran2004
2002,InProceedings,testing concurrency and communication in distributed objects,8,Unknown Venue,10.1109/hipc.1998.738017,Bader A.,article,RRexportA.Bader2002
1999,Book,nusmv: a new symbolic model verifier,619,LNCS,10.1007/3-540-48683-6_44,Cimatti A.,article,RRexportA.Cimatti1999
2013,Journal,software model checking systemc,53,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,10.1109/tcad.2012.2232351,Cimatti A.,article,RRexportA.Cimatti2013
2002,Journal,timed wp-method: testing real-time systems,138,IEEE Transactions on Software Engineering,10.1109/tse.2002.1049402,Nouaary A.E.,article,RRexportA.En-Nouaary2002
2002,InProceedings,timed test cases generation based on state characterization technique,113,Unknown Venue,10.1109/real.1998.739748,Nouaary A.E.,article,RRexportA.En-Nouaary2002
2003,InProceedings,fault coverage in testing real-time systems,37,Unknown Venue,10.1109/rtcsa.1999.811206,Nouaary A.E.,article,RRexportA.En-Nouaary2003
2006,InProceedings,generating finite state machines from system c,42,Unknown Venue,10.1109/date.2006.243777,Habibi A.,article,RRexportA.Habibi2006
1987,Journal,a fortran 77 interpreter for mutation analysis,38,ACM SIGPLAN Notices,10.1145/960114.29669,Offutt A.J.,article,RRexportA.J.Offutt1987
2002,InProceedings,detecting equivalent mutants and the feasible path problem,133,Unknown Venue,10.1109/cmpass.1996.507890,Offutt A.,article,RRexportA.J.Offutt2002
2002,InProceedings,a practical system for mutation testing: help for the common programmer,84,Unknown Venue,10.1109/test.1994.528535,Offutt A.,article,RRexportA.J.Offutt2002
2002,InProceedings,a new method for testing real time systems,23,Unknown Venue,10.1109/rtcsa.2000.896424,Khoumsi A.,article,RRexportA.Khoumsi2002
2010,InProceedings,runtime monitoring of contract regulated web services,12,Unknown Venue,10.5555/1838206.1838426,Lomuscio A.,article,RRexportA.Lomuscio2010
2002,InProceedings,"performance, effectiveness, and reliability issues in software testing",152,Unknown Venue,10.1109/cmpsac.1991.170248,Mathur A.,article,RRexportA.P.Mathur2002
2003,Journal,electronic-system design in the automobile industry,35,IEEE Micro,10.1109/mm.2003.1209462,Vincentelli A.S.,article,RRexportA.Sangiovanni-Vincentelli2003
1991,Journal,an optimization technique for protocol conformance test generation based on uio sequences and rural chinese postman tours,410,IEEE Transactions on Communications,10.1109/26.111442,Aho A.,article,RRexportA.V.Aho1991
2003,Book,a guided method for testing timed input output automata,38,LNCS,10.1007/3-540-44830-6_16,Nouaary A.E.,article,RRexportAbdeslamEn-Nouaary2003
2007,Journal,a scalable method for testing real-time systems,26,Software Quality Journal,10.1007/s11219-007-9021-8,Nouaary A.E.,article,RRexportAbdeslamEn-Nouaary2007
2008,InProceedings,a boundary checking technique for testing real-time systems modeled as timed input output automata,11,Unknown Venue,10.1109/qsic.2008.53,Nouaary A.E.,article,RRexportAbdeslamEn-Nouaary2008
2009,InProceedings,generating feasible transition paths for testing from an extended finite state machine (efsm),99,"International Conference on Software Testing, Verification, and Validation",10.1109/icst.2009.29,Kalaji A.S.,article,RRexportAbdulSalamKalaji2009
2010,Unknown,search-based software engineering : a search-based approach for testing from extended finite state machine (efsm) models,4,Unknown Venue,None,Kalaji A.S.,article,RRexportAbdulSalamKalaji2010
2006,Book,interactive testing with hol-testgen,19,LNCS,10.1007/11759744_7,Brucker A.D.,article,RRexportAchimD.Brucker2006
2008,Book,extensible universes for object-oriented data models,4,LNCS,10.1007/978-3-540-70592-5_19,Brucker A.D.,article,RRexportAchimD.Brucker2008
2005,InProceedings,safe futures for java,182,Unknown Venue,10.1145/1094811.1094845,Welc A.,article,RRexportAdamWelc2005
2011,Journal,generating asynchronous test cases from test purposes,24,Information and Software Technology,10.1016/j.infsof.2011.06.006,Simao A.,article,RRexportAdenilsoSimao2011
2011,Journal,a new method for testing timed systems,2,Software Testing Verification and Reliability,10.1002/stvr.454,Bonifácio A.L.,article,RRexportAdilsonLuizBonifácio2011
1996,Book,verifying continuous time markov chains,343,LNCS,10.1007/3-540-61474-5_75,Aziz A.,article,RRexportAdnanAziz1996
2015,InProceedings,symbolic test case generation of compositional real-time systems driven by interruptions,2,Unknown Venue,10.1109/isorc.2015.38,Damasceno A.C.,article,RRexportAdrianaCarlaDamasceno2015
2011,Journal,flow graph extraction for modular verification of java programs,6,Unknown Venue,None,Amighi A.,article,RRexportAfshinAmighi2011
2007,Book,context-bounded analysis of multithreaded programs with dynamic linked structures,40,Computer Aided Verification,10.1007/978-3-540-73368-3_24,Bouajjani A.,article,RRexportAhmedBouajjani2007
2002,Book,a method for testing the conformance of real time systems,19,LNCS,10.1007/3-540-45739-9_20,Khoumsi A.,article,RRexportAhmedKhoumsi2002
2004,Book,test cases generation for nondeterministic real-time systems,26,LNCS,10.1007/978-3-540-24617-6_10,Khoumsi A.,article,RRexportAhmedKhoumsi2004
2004,Book,test cases generation for nondeterministic real-time systems,26,LNCS,10.1007/978-3-540-24617-6_10,Khoumsi A.,article,RRexportAhmedKhoumsi2004
2008,Book,test purpose concretization through symbolic action refinement,10,LNCS,10.1007/978-3-540-68524-1_14,Faivre A.,article,RRexportAlainFaivre2008
2007,InProceedings,code-coverage based test vector generation for systemc designs,12,Unknown Venue,10.1109/isvlsi.2007.31,Junior A.D.,article,RRexportAlairDiasJunior2007
2006,Journal,constructing induction rules for deductive synthesis proofs,2858,Electronic Notes in Theoretical Computer Science,10.1016/j.entcs.2005.08.003,Bundy A.,article,RRexportAlanBundy2006
2004,Book,concurrent and real-time programming in java,201,Unknown Venue,None,Burns A.,article,RRexportAlanBurns2004
2003,Journal,model driven testing – agedis architecture interfaces and tools,19,Unknown Venue,None,Hartman A.,article,RRexportAlanHartman2003
2010,InProceedings,verifying systemc: a software model checking approach,70,Formal Methods in Computer-Aided Design,10.5555/1998496.1998510,Cimatti A.,article,RRexportAlessandroCimatti2010
2011,Book,kratos: a software model checker for systemc,64,LNCS,10.1007/978-3-642-22110-1_24,Cimatti A.,article,RRexportAlessandroCimatti2011
2011,Journal,runtime monitoring of contract regulated web services,9,Fundamenta Informaticae,10.3233/fi-2011-566,Lomuscio A.,article,RRexportAlessioLomuscio2011
1999,Journal,introduction to set constraint-based program analysis,135,Science of Computer Programming,10.1016/s0167-6423(99)00007-6,Aiken A.,article,RRexportAlexanderAiken1999
2009,Journal,specifying norm-governed computational societies,218,ACM Transactions on Computational Logic,10.1145/1459010.1459011,Artikis A.,article,RRexportAlexanderArtikis2009
1998,Journal,ins and outs in refusal testing,69,Unknown Venue,None,Heerink A.W.,article,RRexportAlexanderWilhelmusHeerink1998
2009,Book,model-based framework for schedulability analysis using uppaal 41,61,"Computational analysis, synthesis, and design of dynamic models series",10.1201/9781420067859-c4,David A.,article,RRexportAlexandreDavid2009
2009,InProceedings,timed testing under partial observability,23,"International Conference on Software Testing, Verification, and Validation",10.1109/icst.2009.38,David A.,article,RRexportAlexandreDavid2009
2009,Book,model-based framework for schedulability analysis using uppaal 41,61,"Computational analysis, synthesis, and design of dynamic models series",10.1201/9781420067859-c4,David A.,article,RRexportAlexandreDavid2009
