year,type,title,note,journal,doi,author,ENTRYTYPE,ID
2021,InProceedings,Long Document Summarization in a Low Resource Setting using Pretrained Language Models.,0,ACL,10.18653/V1/2021.ACL-SRW.7,Bajaj A.,article,DBLP_conf/acl/BajajDKKUWBDDM21
2023,InProceedings,Is Fine-tuning Needed? Pre-trained Language Models Are Near Perfect for Out-of-Domain Detection.,0,ACL,10.18653/V1/2023.ACL-LONG.717,Uppaal R.,article,DBLP_conf/acl/UppaalHL23
2010,InProceedings,From POOSL to UPPAAL: Transformation and Quantitative Analysis.,0,ACSD,10.1109/ACSD.2010.21,Xing J.,article,DBLP_conf/acsd/XingTLPTV10
2015,InProceedings,Verifying Automotive Systems in EAST-ADL/Stateflow Using UPPAAL.,0,APSEC,10.1109/APSEC.2015.17,Kang E.Y.,article,DBLP_conf/apsec/KangKHW15
2022,InProceedings,Combining Model-Based Testing and Automated Analysis of Behavioural Models using GraphWalker and UPPAAL.,0,APSEC,10.1109/APSEC57359.2022.00061,Tiwari S.,article,DBLP_conf/apsec/TiwariIE22
2022,InProceedings,STOMPC: Stochastic Model-Predictive Control with Uppaal Stratego.,0,ATVA,10.1007/978-3-031-19992-9_21,Goorden M.A.,article,DBLP_conf/atva/GoordenJLSSZ22
2008,InProceedings,Component-Based Design and Analysis of Embedded Systems with UPPAAL PORT.,0,ATVA,10.1007/978-3-540-88387-6_23,Håkansson J.,article,DBLP_conf/atva/HakanssonCMPS08
2017,InProceedings,Energy Consumption Forecast of Photo-Voltaic Comfort Cooling Using UPPAAL Stratego.,0,"Models, Algorithms, Logics and Tools",10.1007/978-3-319-63121-9_30,Agesen M.K.,article,DBLP_conf/birthday/AgesenEGMOS17
2019,InProceedings,Formal Verification of Railway Timetables - Using the UPPAAL Model Checker.,0,"From Software Engineering to Formal Methods and Tools, and Back",10.1007/978-3-030-30985-5_25,Haxthausen A.E.,article,DBLP_conf/birthday/HaxthausenH19
2022,InProceedings,Playing Wordle with Uppaal Stratego.,0,A Journey from Process Algebra via Timed Automata to Model Learning,10.1007/978-3-031-15629-8_15,Jensen P.G.,article,DBLP_conf/birthday/JensenLM22
2017,InProceedings,Discretization of Continuous Dynamical Systems Using UPPAAL.,0,"ModelEd, TestEd, TrustEd",10.1007/978-3-319-68270-9_15,Schivo S.,article,DBLP_conf/birthday/SchivoL17
2020,InProceedings,Modeling and Verification of the Nervos CKB Block Synchronization Protocol in UPPAAL.,0,BlockSys,10.1007/978-981-15-9213-3_1,Zhang Q.,article,DBLP_conf/blocksys/ZhangL020
2007,InProceedings,UPPAAL-Tiga: Time for Playing Games!,0,CAV,10.1007/978-3-540-73368-3_14,Behrmann G.,article,DBLP_conf/cav/BehrmannCDFLL07
2008,InProceedings,Faster Than Uppaal?,0,CAV,10.1007/978-3-540-70545-1_53,Kupferschmid S.,article,DBLP_conf/cav/KupferschmidWNP08
1997,InProceedings,UPPAAL: Status &amp; Developments.,0,CAV,10.1007/3-540-63166-6_47,Larsen K.G.,article,DBLP_conf/cav/LarsenPY97
2019,InProceedings,Coordinated Intelligent Traffic Lights using Uppaal Stratego.,0,COMSNETS,10.1109/COMSNETS.2019.8711457,B T.,article,DBLP_conf/comsnets/BKR19
2021,InProceedings,Scalable Coordinated Intelligent Traffic Light Controller for Heterogeneous Traffic Scenarios Using UPPAAL STRATEGO.,0,COMSNETS,10.1109/COMSNETS51098.2021.9352946,B T.,article,DBLP_conf/comsnets/BKR21
2013,InProceedings,Configuration Dynamics Verification Using UPPAAL.,0,Configuration Workshop,,Fabian D.,article,DBLP_conf/confws/FabianM13
2024,InProceedings,"Modelling, Verifying and Testing the Contract Automata Runtime Environment with Uppaal.",0,COORDINATION,10.1007/978-3-031-62697-5_6,Basile D.,article,DBLP_conf/coordination/Basile24
2009,InProceedings,Formal Modeling and Analysis of RBC Subsystem in CTCS Level 3 Using UPPAAL.,0,CSIE,10.1109/CSIE.2009.49,Lv J.,article,DBLP_conf/csie/LvT09
2016,InProceedings,Model Checking Mutual Exclusion Algorithms Using Uppaal.,0,CSOC,10.1007/978-3-319-33622-0_19,Cicirelli F.,article,DBLP_conf/csoc/CicirelliNS16
2016,InProceedings,WUppaal: A web-service for the Uppaal model-checker.,0,CPS Data,10.1109/CPSDATA.2016.7496421,Fogh P.,article,DBLP_conf/cspdata/FoghHN16
2018,InProceedings,Guaranteed Control Synthesis for Continuous Systems in Uppaal Tiga.,0,CyPhy/WESE,10.1007/978-3-030-23703-5_6,Larsen K.G.,article,DBLP_conf/cyphy/LarsenCMT18
2015,InProceedings,May-happen-in-parallel analysis of ESL models using UPPAAL model checking.,0,DATE,,Chang C.W.,article,DBLP_conf/date/ChangD15
2025,InProceedings,Exact Schedulability Analysis for Limited-Preemptive Parallel Applications Using Timed Automata in UPPAAL.,0,DATE,10.23919/DATE64628.2025.10992936,Hansen J.,article,DBLP_conf/date/HansenSNL25
1996,InProceedings,Modelling and analysis of a collision avoidance protocol using Spin and Uppaal.,0,The Spin Verification System,10.1090/DIMACS/032/04,Jensen H.E.,article,DBLP_conf/dimacs/JensenLS96
2023,InProceedings,Learning in Uppaal for Test Case Generation for Cyber-Physical Systems.,0,ECBS,10.1007/978-3-031-49252-5_7,Gu R.,article,DBLP_conf/ecbseerc/Gu23
2021,InProceedings,From UML Modeling to UPPAAL Model checking of 5G Dynamic Service Orchestration.,0,ECBS,10.1145/3459960.3459965,Kunnappilly A.,article,DBLP_conf/ecbseerc/KunnappillyBS21
2011,InProceedings,Modelling And Verification Of Concurrent Programs Using UPPAAL.,0,ECMS,10.7148/2011-0525-0533,Cicirelli F.,article,DBLP_conf/ecms/CicirelliNP11
2018,InProceedings,Model Checking Knowledge And Commitments In Multi-Agent Systems Using Actors And UPPAAL.,0,ECMS,10.7148/2018-0136,Nigro C.,article,DBLP_conf/ecms/NigroNS18
